region,count,per100k,date
Hallstahammar,110,704,2015-04-01
Halmstad,974,1012,2015-04-01
Hammarö,49,319,2015-04-01
Haninge,1127,1356,2015-04-01
Haparanda,91,928,2015-04-01
Heby,88,650,2015-04-01
Heby,0,0,2015-04-01
Hedemora,178,1174,2015-04-01
Helsingborg,1828,1338,2015-04-01
Herrljunga,71,758,2015-04-01
Hjo,47,526,2015-04-01
Hofors,50,530,2015-04-01
Huddinge,1510,1442,2015-04-01
Hudiksvall,305,825,2015-04-01
Hultsfred,114,824,2015-04-01
Hylte,109,1048,2015-04-01
Håbo,168,833,2015-04-01
Hällefors,70,1002,2015-04-01
Härjedalen,75,732,2015-04-01
Härnösand,215,863,2015-04-01
Härryda,254,696,2015-04-01
Hässleholm,477,939,2015-04-01
Höganäs,210,825,2015-04-01
Högsby,58,997,2015-04-01
Hörby,148,988,2015-04-01
Höör,170,1071,2015-04-01
Jokkmokk,30,591,2015-04-01
Järfälla,834,1165,2015-04-01
Jönköping,1243,937,2015-04-01
Kalix,95,584,2015-04-01
Kalmar,609,934,2015-04-01
Karlsborg,29,428,2015-04-01
Karlshamn,307,968,2015-04-01
Karlskoga,386,1279,2015-04-01
Karlskrona,438,675,2015-04-01
Karlstad,815,918,2015-04-01
Katrineholm,419,1256,2015-04-01
Kil,78,659,2015-04-01
Kinda,49,500,2015-04-01
Kiruna,104,448,2015-04-01
Klippan,160,951,2015-04-01
Knivsta,82,497,2015-04-01
Kramfors,236,1283,2015-04-01
Kristianstad,830,1010,2015-04-01
Kristinehamn,201,831,2015-04-01
Krokom,55,374,2015-04-01
Kumla,184,873,2015-04-01
Kungsbacka,456,580,2015-04-01
Kungsör,61,734,2015-04-01
Kungälv,292,687,2015-04-01
Kävlinge,245,818,2015-04-01
Köping,254,997,2015-04-01
Laholm,214,892,2015-04-01
Landskrona,553,1263,2015-04-01
Laxå,102,1802,2015-04-01
Lekeberg,33,444,2015-04-01
Leksand,53,347,2015-04-01
Lerum,291,728,2015-04-01
Lessebo,66,787,2015-04-01
Lidingö,246,536,2015-04-01
Lidköping,372,957,2015-04-01
Lilla Edet,170,1297,2015-04-01
Lindesberg,191,816,2015-04-01
Linköping,1378,904,2015-04-01
Ljungby,187,678,2015-04-01
Ljusdal,165,869,2015-04-01
Ljusnarsberg,41,833,2015-04-01
Lomma,156,674,2015-04-01
Ludvika,277,1057,2015-04-01
Luleå,578,760,2015-04-01
Lund,1379,1185,2015-04-01
Lycksele,99,812,2015-04-01
Lysekil,114,793,2015-04-01
Malmö,4999,1561,2015-04-01
Malung-Sälen,140,1400,2015-04-01
Malå,4,129,2015-04-01
Mariestad,215,897,2015-04-01
Mark,251,740,2015-04-01
Markaryd,83,859,2015-04-01
Mellerud,68,751,2015-04-01
Mjölby,146,551,2015-04-01
Mora,143,713,2015-04-01
Motala,242,566,2015-04-01
Mullsjö,35,491,2015-04-01
Munkedal,67,655,2015-04-01
Munkfors,18,492,2015-04-01
Mölndal,508,805,2015-04-01
Mönsterås,76,580,2015-04-01
Mörbylånga,53,363,2015-04-01
Nacka,723,745,2015-04-01
Nora,41,393,2015-04-01
Norberg,86,1493,2015-04-01
Nordanstig,73,769,2015-04-01
Nordmaling,45,636,2015-04-01
Norrköping,1472,1081,2015-04-01
Norrtälje,529,910,2015-04-01
Norsjö,23,551,2015-04-01
Nybro,215,1089,2015-04-01
Nykvarn,69,690,2015-04-01
Nyköping,617,1145,2015-04-01
Nynäshamn,348,1276,2015-04-01
Nässjö,297,984,2015-04-01
Ockelbo,35,603,2015-04-01
Olofström,82,626,2015-04-01
Orsa,30,442,2015-04-01
Orust,73,486,2015-04-01
Osby,95,737,2015-04-01
Oskarshamn,129,489,2015-04-01
Ovanåker,53,463,2015-04-01
Oxelösund,98,843,2015-04-01
Pajala,23,368,2015-04-01
Partille,361,982,2015-04-01
Perstorp,72,1001,2015-04-01
Piteå,903,2174,2015-04-01
Ragunda,28,517,2015-04-01
Robertsfors,33,489,2015-04-01
Ronneby,300,1054,2015-04-01
Rättvik,62,577,2015-04-01
Sala,207,940,2015-04-01
Salem,137,841,2015-04-01
Sandviken,256,672,2015-04-01
Sigtuna,633,1425,2015-04-01
Simrishamn,136,716,2015-04-01
Sjöbo,207,1121,2015-04-01
Skara,190,1014,2015-04-01
Skellefteå,488,678,2015-04-01
Skinnskatteberg,23,517,2015-04-01
Skurup,89,587,2015-04-01
Skövde,428,802,2015-04-01
Smedjebacken,64,595,2015-04-01
Sollefteå,221,1117,2015-04-01
Sollentuna,727,1042,2015-04-01
Solna,1153,1535,2015-04-01
Sorsele,15,590,2015-04-01
Sotenäs,50,558,2015-04-01
Staffanstorp,154,668,2015-04-01
Stenungsund,221,870,2015-04-01
Stockholm,18614,2028,2015-04-01
Storfors,44,1081,2015-04-01
Storuman,35,588,2015-04-01
Strängnäs,302,888,2015-04-01
Strömstad,134,1049,2015-04-01
Strömsund,46,390,2015-04-01
Sundbyberg,852,1889,2015-04-01
Sundsvall,989,1015,2015-04-01
Sunne,62,471,2015-04-01
Surahammar,98,985,2015-04-01
Svalöv,116,856,2015-04-01
Svedala,136,668,2015-04-01
Svenljunga,77,738,2015-04-01
Säffle,116,756,2015-04-01
Säter,59,539,2015-04-01
Sävsjö,58,520,2015-04-01
Söderhamn,288,1124,2015-04-01
Söderköping,72,505,2015-04-01
Södertälje,1614,1741,2015-04-01
Sölvesborg,162,950,2015-04-01
Tanum,64,516,2015-04-01
Tibro,92,842,2015-04-01
Tidaholm,77,609,2015-04-01
Tierp,188,922,2015-04-01
Timrå,113,628,2015-04-01
Tingsryd,109,891,2015-04-01
Tjörn,85,558,2015-04-01
